Sample ID	Sample Description (title, isolation source)	Study ID	Predicted EnvoID	Predicted Envo Term	Jaccard Score	Distance	P-value	Best Match	Annotated EnvoID1	Predicted Envo Term1	Annotated EnvoID2	Predicted Envo Term2	Annotated EnvoID3	Predicted Envo Term3
MSO9.660758	Kelley nicu contamination, Swab was taken from NICU counter next to sink MB	QDB_0386	ID:0000020	mouth	0.138056673987	4	0.0908687678472	ENVO:00002031	ENVO:00002031	anthropogenic habitat	ENVO:00010504	surface
S176.141167	The influence of sex handedness and washing on the diversity of hand surface bacteriaS1 V65, fierer undergraduate palms	QDB_0317	ID:0000023	hand	0.0881810605986	3	0.0342097930214	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat
insidemouth.T0.reswab.U5.536514	Mouse Decomp Forensics 2011, microbial 16S timeseries of corpse decomposition on sterile and untreated soil	QDB_0714	ENVO:01000007	microbial feature	0.104651642968	4	0.0908687678472	ENVO:00009002	ENVO:00000446	terrestrial biome	ENVO:02000036	saliva	ENVO:00009002	mammalia-associated habitat
F42.141206	The influence of sex handedness and washing on the diversity of hand surface bacteriaS1 V177, fierer undergraduate palms	QDB_0317	ID:0000023	hand	0.0881810605986	3	0.0342097930214	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat
M26.533978	Intertidal microbes 16s for 2009 and 2036, marine	QDB_0662	ENVO:00000090	coastal plain	0.29368354108	3	0.0342097930214	ENVO:00000317	ENVO:00000447	marine biome	ENVO:00000317	tidal pool	ENVO:00002034	biofilm
B32.3.737619	A cross-taxon analysis of insect-associated bacterial diversity, insect	QDB_1737	ENVO:0010089	insect food product	0.118634034753	6	0.365683897177	ENVO:01000155	ENVO:01000155	organic material	ENVO:00002993	Tropical humid forests	ENVO:00000111	forest
Antibioticday5.10.86.984466	Antibiioticday5 Sample, Treatment 10, mouse gut	QDB_1958	ID:0000002	gut	0.206019550815	1	0.00206932100159	ENVO:00002003	ENVO:00009002	mammalia-associated habitat	ENVO:00002003	feces
Antibioticday1.9.75.984453	Antibioticday1 Sample, Treatment 9, mouse gut	QDB_1958	ID:0000002	gut	0.206019550815	1	0.00206932100159	ENVO:00002003	ENVO:00009002	mammalia-associated habitat	ENVO:00002003	feces
2557.1w.f.632931	Pregnant women sampled in 1st and 3rd trimesters, their children and a germ free mouse exp., mouse gut	QDB_0867	ENVO:00000005	first-order administrative region	0.0886369756068	8	0.708292629533	ENVO:00002003	ENVO:00002003	feces	ENVO:00006776	animal-associated habitat
LMHV.005030.7002OR.552283	Oral Wash sample from Lung MicroCHIP Study, human oral	QDB_1437	ID:0000052	lung	0.145937980968	2	0.0118310790194	ENVO:00009003	ENVO:02000036	saliva	ENVO:00009003	human-associated habitat
M37.533988	Intertidal microbes 16s for 2009 and 2047, marine	QDB_0662	ENVO:00000090	coastal plain	0.29368354108	3	0.0342097930214	ENVO:00000317	ENVO:00000447	marine biome	ENVO:00000317	tidal pool	ENVO:00001995	rock
HI20.58e.2.663885	Ultra-high-throughput microbial community analysis on the Illumina HiSeq and MiSeq platforms, soil	QDB_1684	ENVO:01000007	microbial feature	0.118326818955	5	0.2001811416	ENVO:00001998	ENVO:00001998	soil	ENVO:00000111	forest	ENVO:00000879	Tropical and subtropical moist broadleaf forest biome
56.CA.Stool.663887	Ultra-high-throughput microbial community analysis on the Illumina HiSeq and MiSeq platforms, gut	QDB_1684	ENVO:01000007	microbial feature	0.116420239443	4	0.0908687678472	ENVO:00006776	ENVO:00002003	feces	ENVO:00006776	animal-associated habitat
Azelea.Stool.984073	Personal Genome Project, human gut	QDB_1189	ID:0000002	gut	0.228791667864	1	0.00206932100159	ENVO:00002003	ENVO:00002003	feces	ENVO:00009003	human-associated habitat
Preantibiotic.7.65.984468	Preantibiotic Sample, Treatment 7, mouse gut	QDB_1958	ID:0000002	gut	0.206019550815	1	0.00206932100159	ENVO:00002003	ENVO:00009002	mammalia-associated habitat	ENVO:00002003	feces
Antibioticday5.7.83.984459	Antibiioticday5 Sample, Treatment 7, mouse gut	QDB_1958	ID:0000002	gut	0.206019550815	1	0.00206932100159	ENVO:00002003	ENVO:00009002	mammalia-associated habitat	ENVO:00002003	feces
NA.21.T0.830824	Ercolini whole grain feces, Fecal sample taken from individual NA.21	QDB_1481	ENVO:00002003	feces	0.334502992577	0	0.000604878446618	ENVO:00002003	ENVO:00002003	feces	ENVO:00009003	human-associated habitat
ST.P.C.LHM048.1.T.995103	The bacterial composition of fecal samples in HIV negative and positive individuals, DNA extracted from fecal samples with Powersoil kit and amplified with barcoded primers. Sequenced at MiSeq at CU Boulder core (Jim Huttley)	QDB_1700	ENVO:00002003	feces	0.0901905413127	0	0.000604878446618	ENVO:00002003	ENVO:00002003	feces	ENVO:00009003	human-associated habitat
Antibioticday1.7.73.984469	Antibioticday1 Sample, Treatment 7, mouse gut	QDB_1958	ID:0000002	gut	0.206019550815	1	0.00206932100159	ENVO:00002003	ENVO:00009002	mammalia-associated habitat	ENVO:00002003	feces
Saki.284406	Diet drives convergence in gut microbiome functions across mammalian phylogeny and within humans, white-faced saki gut	QDB_0626	ID:0000000	animal microbiome	0.104270895953	1	0.00206932100159	ENVO:00006776	ENVO:00002003	feces	ENVO:00006776	animal-associated habitat
Pitt.OW.neg.7043.40296.592455	LHMP Pittsburgh, human oral	QDB_1536	ID:0000020	mouth	0.196863388081	3	0.0342097930214	ENVO:00009003	ENVO:02000036	saliva	ENVO:00009003	human-associated habitat
S131.141234	The influence of sex handedness and washing on the diversity of hand surface bacteriaS1 V30, fierer undergraduate palms	QDB_0317	ID:0000023	hand	0.0881810605986	3	0.0342097930214	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat
S161.141212	The influence of sex handedness and washing on the diversity of hand surface bacteriaS1 V52, fierer undergraduate palms	QDB_0317	ID:0000023	hand	0.0881810605986	3	0.0342097930214	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat
M31.533961	Intertidal microbes 16s for 2009 and 2041, marine	QDB_0662	ENVO:00000090	coastal plain	0.29368354108	3	0.0342097930214	ENVO:00000317	ENVO:00000447	marine biome	ENVO:00000317	tidal pool	ENVO:00002034	biofilm
000004407.1078128	AGP Mercola Food, FVP EMP D1	QDB_2013	ENVO:00002002	food product	0.115225485793	3	0.0342097930214	ENVO:00001998	ENVO:00002031	anthropogenic habitat	ENVO:00001998	soil	ENVO:00000077	agricultural feature
000004446.1078153	AGP Mercola Food, Kale	QDB_2013	ENVO:00002002	food product	0.144729982694	3	0.0342097930214	ENVO:00001998	ENVO:00002031	anthropogenic habitat	ENVO:00001998	soil	ENVO:00000077	agricultural feature
000004425.1078119	AGP Mercola Food, Yog #1	QDB_2013	ENVO:00002002	food product	0.143075785817	3	0.0342097930214	ENVO:00001998	ENVO:00002031	anthropogenic habitat	ENVO:00001998	soil	ENVO:00000077	agricultural feature
000004427.1078102	AGP Mercola Food, Cilantro	QDB_2013	ENVO:00002002	food product	0.143075785817	3	0.0342097930214	ENVO:00001998	ENVO:00002031	anthropogenic habitat	ENVO:00001998	soil	ENVO:00000077	agricultural feature
000004498.1078114	AGP Mercola Food, K2	QDB_2013	ENVO:00002002	food product	0.188680307583	3	0.0342097930214	ENVO:00001998	ENVO:00002031	anthropogenic habitat	ENVO:00001998	soil	ENVO:00000077	agricultural feature
R44INPTWH.281567	Rat whole-body microbiome, norway rat	QDB_0391	ID:0000000	animal microbiome	0.231170559949	1	0.00206932100159	ENVO:00006776	ENVO:01000155	organic material	ENVO:00006776	animal-associated habitat
MII5.660766	Kelley nicu contamination, Swab was taken from NICU incubator inside plastic MB	QDB_0386	ID:0000020	mouth	0.12581545885	4	0.0908687678472	ENVO:00002031	ENVO:00002031	anthropogenic habitat	ENVO:00010504	surface
F26.141204	The influence of sex handedness and washing on the diversity of hand surface bacteriaS1 V167, fierer undergraduate palms	QDB_0317	ID:0000023	hand	0.0881810605986	3	0.0342097930214	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat
M120T.140197	Bacterial Community Variation in Human Body Habitats Across Space and Time, human oral	QDB_0450	ENVO:00002036	habitat	0.137713994524	4	0.0908687678472	ENVO:00009003	ENVO:02000036	saliva	ENVO:00009003	human-associated habitat
M41Indr.140781	Bacterial Community Variation in Human Body Habitats Across Space and Time, right index finger	QDB_0449	ENVO:00002036	habitat	0.125271679595	4	0.0908687678472	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat
C18.jul09.823523	Comparison of groundwater samples from karst sinkholes (cenotes) from the Yucatan Peninsula, Mexico, groundwater	QDB_0861	ENVO:00000195	sinkhole	0.128705580742	0	0.000604878446618	ENVO:00000195	ENVO:00000195	sinkhole	ENVO:00002010	saline water	ENVO:00000873	freshwater biome
S1.141274	The influence of sex handedness and washing on the diversity of hand surface bacteriaS1 V2, fierer undergraduate palms	QDB_0317	ID:0000023	hand	0.0881810605986	3	0.0342097930214	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat
S98.141325	The influence of sex handedness and washing on the diversity of hand surface bacteriaS1 V147, fierer undergraduate palms	QDB_0317	ID:0000023	hand	0.0881810605986	3	0.0342097930214	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat
PI.836780	Bacterial community dynamics in Heliconius erato, insect	QDB_1898	ENVO:0010089	insect food product	0.120234842357	6	0.365683897177	ENVO:01000155	ENVO:01000155	organic material	ENVO:00000111	forest	ENVO:00000879	Tropical and subtropical moist broadleaf forest biome
S93.141158	The influence of sex handedness and washing on the diversity of hand surface bacteriaS1 V145, fierer undergraduate palms	QDB_0317	ID:0000023	hand	0.0881810605986	3	0.0342097930214	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat
S170.141233	The influence of sex handedness and washing on the diversity of hand surface bacteriaS1 V62, fierer undergraduate palms	QDB_0317	ID:0000023	hand	0.0881810605986	3	0.0342097930214	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat
S132.141151	The influence of sex handedness and washing on the diversity of hand surface bacteriaS1 V31, fierer undergraduate palms	QDB_0317	ID:0000023	hand	0.0881810605986	3	0.0342097930214	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat
MBP4.660768	Kelley nicu contamination, Swab was taken from NICU baby open bedside plastic exterior MB	QDB_0386	ID:0000020	mouth	0.106221513979	4	0.0908687678472	ENVO:00002031	ENVO:00002031	anthropogenic habitat	ENVO:00010504	surface
000004464.1078168	AGP Mercola Food, V FerSprD1	QDB_2013	ENVO:00002002	food product	0.143075785817	3	0.0342097930214	ENVO:00001998	ENVO:00002031	anthropogenic habitat	ENVO:00001998	soil	ENVO:00000077	agricultural feature
MWR16.660756	Kelley nicu contamination, Swab was taken from NICU traveling weigh cart drawer handles2 MB	QDB_0386	ID:0000020	mouth	0.101664047581	4	0.0908687678472	ENVO:00002031	ENVO:00002031	anthropogenic habitat	ENVO:00010504	surface
Preantibiotic.10.68.984463	Preantibiotic Sample, Treatment 10, mouse gut	QDB_1958	ID:0000002	gut	0.206019550815	1	0.00206932100159	ENVO:00002003	ENVO:00009002	mammalia-associated habitat	ENVO:00002003	feces
Northern.peatlands.686754	Canadian MetaMicroBiome Initiative, soil	QDB_0632	ENVO:00001998	soil	0.214151133246	0	0.000604878446618	ENVO:00001998	ENVO:00000043	wetland	ENVO:00000874	Tundra biome	ENVO:00001998	soil
E2G03.825976	Bird Egg Shells from Spain, organismal	QDB_1632	ENVO:02000056	egg product	0.158206047708	2	0.0118310790194	ENVO:02000057	ENVO:00005805	nest of bird	ENVO:02000057	hen's egg product	ENVO:00000878	Mediterranean forests, woodlands, and shrub biome
Orang1.284423	Diet drives convergence in gut microbiome functions across mammalian phylogeny and within humans, sumatran orangutan gut	QDB_0626	ID:0000000	animal microbiome	0.104270895953	1	0.00206932100159	ENVO:00006776	ENVO:00002003	feces	ENVO:00006776	animal-associated habitat
S189.141185	The influence of sex handedness and washing on the diversity of hand surface bacteriaS1 V76, fierer undergraduate palms	QDB_0317	ID:0000023	hand	0.0881810605986	3	0.0342097930214	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat
Antibioticday5.8.84.984472	Antibiioticday5 Sample, Treatment 8, mouse gut	QDB_1958	ID:0000002	gut	0.206019550815	1	0.00206932100159	ENVO:00002003	ENVO:00009002	mammalia-associated habitat	ENVO:00002003	feces
PLRP3.85.589053	Pavilion Lake Research Project, 85	QDB_0809	ENVO:00000020	lake	0.249473471024	1	0.00206932100159	ENVO:00000892	ENVO:00000892	Small lake biome	ENVO:00001995	rock
LMHV.005032.7003PW.552330	Bronchoscope Pre-Wash Control, None	QDB_1438	ENVO:00000443	flood control reservoir	0.137925901607	5	0.2001811416	ENVO:00002006	ENVO:00005791	sterile water	ENVO:00002006	water
M13.533970	Intertidal microbes 16s for 2009 and 2023, epibiont	QDB_0662	ENVO:00000090	coastal plain	0.267021894957	6	0.365683897177	ENVO:00002032	ENVO:00002032	organism-associated habitat	ENVO:00002034	biofilm
M64Frhd.140834	Bacterial Community Variation in Human Body Habitats Across Space and Time, forehead	QDB_0449	ENVO:00002036	habitat	0.136920009307	4	0.0908687678472	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat
ProB17.658269	to study bacterial communities on fresh produce, sample from Peach	QDB_1671	ENVO:00002011	fresh water	0.127821068118	4	0.0908687678472	ENVO:00000446	ENVO:00000446	terrestrial biome	ENVO:00002222	food shop
ME28Nov00EB2R1.486666	Medota Lake Eleven year timeseries, freshwater	QDB_1242	ENVO:00000021	freshwater lake	0.346615583881	0	0.000604878446618	ENVO:00000021	ENVO:00000021	freshwater lake	ENVO:00000892	Small lake biome	ENVO:00002011	fresh water
S08123.543897	A longitudinal 16 S rDNA based study of the human oral microbiome in adolescent twins, human oral	QDB_1026	ID:0000000	animal microbiome	0.134822500508	3	0.0342097930214	ENVO:00009003	ENVO:02000036	saliva	ENVO:00009003	human-associated habitat
M22Forr.140708	Bacterial Community Variation in Human Body Habitats Across Space and Time, right forearm	QDB_0449	ENVO:00002036	habitat	0.134474881319	4	0.0908687678472	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat
M34.141225	The influence of sex handedness and washing on the diversity of hand surface bacteriaS1 V158, fierer undergraduate palms	QDB_0317	ID:0000023	hand	0.0881810605986	3	0.0342097930214	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat
NA.17.T8.830864	Ercolini whole grain feces, Fecal sample taken from individual NA.17	QDB_1481	ENVO:00002003	feces	0.334502992577	0	0.000604878446618	ENVO:00002003	ENVO:00002003	feces	ENVO:00009003	human-associated habitat
FL3.37a.3.663891	Ultra-high-throughput microbial community analysis on the Illumina HiSeq and MiSeq platforms, soil	QDB_1684	ENVO:01000007	microbial feature	0.118326818955	5	0.2001811416	ENVO:00001998	ENVO:00005806	Tropical and subtropical coniferous forest biome	ENVO:00000111	forest	ENVO:00001998	soil
HI1.141693	Pyrosequencing-Based Assessment of Soil pH as a Predictor of Soil Bacterial Community Structure at the Continental Scale, soil	QDB_0103	ENVO:00000221	continental island	0.0935562556961	5	0.2001811416	ENVO:00001998	ENVO:00005750	grassland soil	ENVO:00001998	soil	ENVO:00000881	Tropical and subtropical grasslands, savannas, and shrubland biome
UII29.660748	Kelley nicu contamination, Swab was taken from NICU incubator inside plastic UCSD	QDB_0386	ID:0000020	mouth	0.12581545885	4	0.0908687678472	ENVO:00002031	ENVO:00002031	anthropogenic habitat	ENVO:00010504	surface
000004424.1078147	AGP Mercola Food, NV FerSprD6	QDB_2013	ENVO:00002002	food product	0.115225485793	3	0.0342097930214	ENVO:00001998	ENVO:00002031	anthropogenic habitat	ENVO:00001998	soil	ENVO:00000077	agricultural feature
H19Di.735897	Home Life: Factors structuring the bacterial diversity found within and between homes, indoor	QDB_1772			0	17	1.0	ENVO:00000073	ENVO:00000876	Temperate broadleaf and mixed forest biome	ENVO:00000073	building	ENVO:00010504	surface
M5a.533960	Intertidal microbes 16s for 2009 and 2014, marine	QDB_0662	ENVO:00000090	coastal plain	0.29368354108	0	0.000604878446618	ENVO:00000090	ENVO:00000447	marine biome	ENVO:00000090	coastal plain	ENVO:00002034	biofilm
4.3.SN.139819	Characterization of airborne microbial communities at a high elevation site and their potential to act as atmospheric ice nuclei, snow	QDB_0314	ENVO:01000007	microbial feature	0.100335890912	6	0.365683897177	ENVO:00000146	ENVO:00000146	snow field
S29.141311	The influence of sex handedness and washing on the diversity of hand surface bacteriaS1 V88, fierer undergraduate palms	QDB_0317	ID:0000023	hand	0.0881810605986	3	0.0342097930214	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat
BigHornSD.284391	Diet drives convergence in gut microbiome functions across mammalian phylogeny and within humans, big horn sheep gut	QDB_0626	ID:0000000	animal microbiome	0.104436415402	1	0.00206932100159	ENVO:00006776	ENVO:00002003	feces	ENVO:00006776	animal-associated habitat
F31Labi.140819	Bacterial Community Variation in Human Body Habitats Across Space and Time, labia minora	QDB_0449	ENVO:00002036	habitat	0.112181286011	4	0.0908687678472	ENVO:00009003	ENVO:02000040	mucus	ENVO:00009003	human-associated habitat
000004509.1078171	AGP Mercola Food, FerSprD1	QDB_2013	ENVO:00002002	food product	0.143075785817	3	0.0342097930214	ENVO:00001998	ENVO:00002031	anthropogenic habitat	ENVO:00001998	soil	ENVO:00000077	agricultural feature
S85.141253	The influence of sex handedness and washing on the diversity of hand surface bacteriaS1 V138, fierer undergraduate palms	QDB_0317	ID:0000023	hand	0.0881810605986	3	0.0342097930214	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat
000004397.1078111	AGP Mercola Food, Vortex H2O Broccoli	QDB_2013	ENVO:00002002	food product	0.117386508221	3	0.0342097930214	ENVO:00001998	ENVO:00002031	anthropogenic habitat	ENVO:00001998	soil	ENVO:00000077	agricultural feature
M28.533994	Intertidal microbes 16s for 2009 and 2038, marine	QDB_0662	ENVO:00000090	coastal plain	0.29368354108	3	0.0342097930214	ENVO:00000317	ENVO:00000447	marine biome	ENVO:00000317	tidal pool	ENVO:00002034	biofilm
248.664639	Quality-filtering vastly improves diversity estimates from Illumina amplicon sequencing, defining beer-associated microbial community	QDB_1689	ENVO:01000007	microbial feature	0.0936766100414	4	0.0908687678472	ENVO:00002031	ENVO:01000015	beer	ENVO:00000446	terrestrial biome	ENVO:00002031	anthropogenic habitat
3g.480772	zebrafish gut metagenome, zebrafish gut	QDB_1192	ID:0000002	gut	0.282929138138	1	0.00206932100159	ENVO:00006776	ENVO:01000155	organic material	ENVO:00006776	animal-associated habitat
ProA37.658267	to study bacterial communities on fresh produce, sample from Strawberries	QDB_1671	ENVO:00002011	fresh water	0.126641316798	4	0.0908687678472	ENVO:00000446	ENVO:00000446	terrestrial biome	ENVO:00002222	food shop
PLRP7.40.589058	Pavilion Lake Research Project, 40	QDB_0809	ENVO:00000020	lake	0.249473471024	1	0.00206932100159	ENVO:00000892	ENVO:00000892	Small lake biome	ENVO:00001995	rock
ProC69.658162	to study bacterial communities on fresh produce, sample from Spinach	QDB_1671	ENVO:02000050	spinach	0.19707316389	10	0.906880197224	ENVO:00000446	ENVO:00000446	terrestrial biome	ENVO:00002222	food shop
S71.141260	The influence of sex handedness and washing on the diversity of hand surface bacteriaS1 V127, fierer undergraduate palms	QDB_0317	ID:0000023	hand	0.0881810605986	3	0.0342097930214	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat
NA.20.T8.830870	Ercolini whole grain feces, Fecal sample taken from individual NA.20	QDB_1481	ENVO:00002003	feces	0.334502992577	0	0.000604878446618	ENVO:00002003	ENVO:00002003	feces	ENVO:00009003	human-associated habitat
F12.141235	The influence of sex handedness and washing on the diversity of hand surface bacteriaS1 V161, fierer undergraduate palms	QDB_0317	ID:0000023	hand	0.0881810605986	3	0.0342097930214	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat
F16.141290	The influence of sex handedness and washing on the diversity of hand surface bacteriaS1 V163, fierer undergraduate palms	QDB_0317	ID:0000023	hand	0.0881810605986	3	0.0342097930214	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat
M4.533962	Intertidal microbes 16s for 2009 and 2013, marine	QDB_0662	ENVO:00000090	coastal plain	0.29368354108	0	0.000604878446618	ENVO:00000090	ENVO:00000447	marine biome	ENVO:00000090	coastal plain	ENVO:00002034	biofilm
I1.631407	EnglishChannel10MillionDec2007, marine	QDB_0866	ENVO:00000362	marine park	0.524142352459	6	0.365683897177	ENVO:00000396	ENVO:00002010	saline water	ENVO:00001999	marine water body	ENVO:00000396	marine channel
Bnf2.285940	Delivery mode effects on newborn microbiota, human nose	QDB_0395	ID:0000058	skin	0.09648167708	1	0.00206932100159	ENVO:00009003	ENVO:02000040	mucus	ENVO:00009003	human-associated habitat
S178.141241	The influence of sex handedness and washing on the diversity of hand surface bacteriaS1 V67, fierer undergraduate palms	QDB_0317	ID:0000023	hand	0.0881810605986	3	0.0342097930214	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat
PO1.17.T8.830835	Ercolini whole grain feces, Fecal sample taken from individual PO1.17	QDB_1481	ENVO:00002003	feces	0.334502992577	0	0.000604878446618	ENVO:00002003	ENVO:00002003	feces	ENVO:00009003	human-associated habitat
S39.141186	The influence of sex handedness and washing on the diversity of hand surface bacteriaS1 V98, fierer undergraduate palms	QDB_0317	ID:0000023	hand	0.0881810605986	3	0.0342097930214	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat
Bbd8.285945	Delivery mode effects on newborn microbiota, human skin	QDB_0395	ID:0000058	skin	0.243600173508	1	0.00206932100159	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat
E2B12PSB.481368	Lung HIV Microbiome Project, freshwater	QDB_1020	ID:0000000	animal microbiome	0.203968921366	3	0.0342097930214	ENVO:00009003	ENVO:02000040	mucus	ENVO:00009003	human-associated habitat
Preantibiotic.2.60.984455	Preantibiotic Sample, Treatment 2, mouse gut	QDB_1958	ID:0000002	gut	0.206019550815	1	0.00206932100159	ENVO:00002003	ENVO:00009002	mammalia-associated habitat	ENVO:00002003	feces
M8.533991	Intertidal microbes 16s for 2009 and 2018, marine	QDB_0662	ENVO:00000090	coastal plain	0.29368354108	3	0.0342097930214	ENVO:00000317	ENVO:00000447	marine biome	ENVO:00000317	tidal pool	ENVO:00002034	biofilm
000004454.1078113	AGP Mercola Food, Lime	QDB_2013	ENVO:00005766	limed soil	0.19313104047	1	0.00206932100159	ENVO:00001998	ENVO:00002031	anthropogenic habitat	ENVO:00001998	soil	ENVO:00000077	agricultural feature
000004458.1078148	AGP Mercola Food, NV VegSprD1	QDB_2013	ENVO:00002002	food product	0.115225485793	3	0.0342097930214	ENVO:00001998	ENVO:00002031	anthropogenic habitat	ENVO:00001998	soil	ENVO:00000077	agricultural feature
21EU.397077	Impact of diet in shaping gut microbiota revealed by a comparative study in children from Europe and rural Africa, human gut	QDB_0496	ID:0000002	gut	0.0909782237334	1	0.00206932100159	ENVO:00002003	ENVO:00002003	feces	ENVO:00009003	human-associated habitat
CU3291.141434	Bacterial communities of disease vectors sampled across time space and species, prairie dog flea metagnome	QDB_0316	ENVO:00000260	prairie	0.0901318401427	4	0.0908687678472	ENVO:00002032	ENVO:01000155	organic material	ENVO:00002032	organism-associated habitat
000004477.1078170	AGP Mercola Food, Yog #3	QDB_2013	ENVO:00002002	food product	0.143075785817	3	0.0342097930214	ENVO:00001998	ENVO:00002031	anthropogenic habitat	ENVO:00001998	soil	ENVO:00000077	agricultural feature
F21Fcsp.140536	Bacterial Community Variation in Human Body Habitats Across Space and Time, stool	QDB_0449	ENVO:00002003	feces	0.142290278966	0	0.000604878446618	ENVO:00002003	ENVO:00002003	feces	ENVO:00009003	human-associated habitat
M40.533979	Intertidal microbes 16s for 2009 and 2050, marine	QDB_0662	ENVO:00000090	coastal plain	0.29368354108	3	0.0342097930214	ENVO:00000317	ENVO:00000447	marine biome	ENVO:00000317	tidal pool	ENVO:00001995	rock
M6.533983	Intertidal microbes 16s for 2009 and 2016, marine	QDB_0662	ENVO:00000090	coastal plain	0.29368354108	3	0.0342097930214	ENVO:00000317	ENVO:00000447	marine biome	ENVO:00000317	tidal pool	ENVO:00002034	biofilm
M20.141303	The influence of sex handedness and washing on the diversity of hand surface bacteriaS1 V152, fierer undergraduate palms	QDB_0317	ID:0000023	hand	0.0881810605986	3	0.0342097930214	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat
PO2.5.T4.830876	Ercolini whole grain feces, Fecal sample taken from individual PO2.5	QDB_1481	ENVO:00002003	feces	0.334502992577	0	0.000604878446618	ENVO:00002003	ENVO:00002003	feces	ENVO:00009003	human-associated habitat
FL.3.14a.414607	EMP pilot, soil metagenome and 16S, soil	QDB_0808	ENVO:00001998	soil	0.19691344644	0	0.000604878446618	ENVO:00001998	ENVO:00005806	Tropical and subtropical coniferous forest biome	ENVO:00000111	forest	ENVO:00001998	soil
NA.24.T8.830891	Ercolini whole grain feces, Fecal sample taken from individual NA.24	QDB_1481	ENVO:00002003	feces	0.334502992577	0	0.000604878446618	ENVO:00002003	ENVO:00002003	feces	ENVO:00009003	human-associated habitat
S12.141315	The influence of sex handedness and washing on the diversity of hand surface bacteriaS1 V22, fierer undergraduate palms	QDB_0317	ID:0000023	hand	0.0881810605986	3	0.0342097930214	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat
000004507.1078190	AGP Mercola Food, Broccoli Sprouts	QDB_2013	ID:0000032	sprout	0.183311942256	3	0.0342097930214	ENVO:00001998	ENVO:00002031	anthropogenic habitat	ENVO:00001998	soil	ENVO:00000077	agricultural feature
CU3100.141556	Bacterial communities of disease vectors sampled across time space and species, flea	QDB_0316	ID:0000017	pathogenicity-related habitat	0.111705589235	1	0.00206932100159	ENVO:00002032	ENVO:01000155	organic material	ENVO:00002032	organism-associated habitat
I.Fundao.SB.7.8.488612	Rio de aneiro Coastline, marine sediment	QDB_1039	ENVO:00002113	marine sediment	0.298914463529	1	0.00206932100159	ENVO:00002007	ENVO:00000447	marine biome	ENVO:00000032	bay	ENVO:00002007	sediment
F21Knel.140372	Bacterial Community Variation in Human Body Habitats Across Space and Time, left back of knees	QDB_0449	ENVO:00002036	habitat	0.117786980813	4	0.0908687678472	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat
ProC26.658284	to study bacterial communities on fresh produce, sample from Pepper	QDB_1671	ENVO:00002011	fresh water	0.130132735566	4	0.0908687678472	ENVO:00000446	ENVO:00000446	terrestrial biome	ENVO:00002222	food shop
PO4.3.T4.830802	Ercolini whole grain feces, Fecal sample taken from individual PO4.3	QDB_1481	ENVO:00002003	feces	0.334502992577	0	0.000604878446618	ENVO:00002003	ENVO:00002003	feces	ENVO:00009003	human-associated habitat
M15.533977	Intertidal microbes 16s for 2009 and 2025, epibiont	QDB_0662	ENVO:00000090	coastal plain	0.267021894957	6	0.365683897177	ENVO:00002032	ENVO:00002032	organism-associated habitat	ENVO:00002034	biofilm
S48.141211	The influence of sex handedness and washing on the diversity of hand surface bacteriaS1 V106, fierer undergraduate palms	QDB_0317	ID:0000023	hand	0.0881810605986	3	0.0342097930214	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat
000004513.1078149	AGP Mercola Food, FVK2 DOC D2	QDB_2013	ENVO:00002002	food product	0.121160754113	3	0.0342097930214	ENVO:00001998	ENVO:00002031	anthropogenic habitat	ENVO:00001998	soil	ENVO:00000077	agricultural feature
